2026-08-05 22:40:26 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=3313; using neutral factors.
2026-08-05 22:40:26 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 22:40:26 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 22:46:35 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=4705; using neutral factors.
2026-08-05 22:46:35 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 22:46:35 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 22:59:58 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=4705; using neutral factors.
2026-08-05 22:59:58 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 22:59:58 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 23:01:57 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=7; using neutral factors.
2026-08-05 23:01:57 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 23:01:57 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 23:03:17 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=680; using neutral factors.
2026-08-05 23:03:17 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 23:03:17 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 23:05:46 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 23:05:46 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 23:36:57 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=680; using neutral factors.
2026-08-05 23:36:57 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 23:36:57 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 23:38:59 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=680; using neutral factors.
2026-08-05 23:38:59 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 23:38:59 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 23:41:02 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=680; using neutral factors.
2026-08-05 23:41:02 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 23:41:02 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-06 00:02:11 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=4705; using neutral factors.
2026-08-06 00:02:11 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-06 00:02:11 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-06 00:07:41 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-06 00:07:41 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-06 00:09:15 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=680; using neutral factors.
2026-08-06 00:09:15 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-06 00:09:15 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
